id,name,party,sector,type
uvdl,Ursula von der Leyen,SPD,Politik,1
lk,Lars Klingbeil,SPD,Politik,1
nr,Norbert Roettgen,CDU,Politik,1
sw,Sahra Wagenknecht,Die Linke,Politik,1
cs,Constanze Stelzenmueller,Keine,Wissenschaft,1
cl,Christian Lindner,FDP,Politik,1
kl,Karl Schloegel,Keine,Wissenschaft,1
lm,Ljudmyla Melnyk,Keine,Wissenschaft,1
kd,Kristina Dunz,Keine,Journalismus,1
el,Egils Levits,Keine,Politik,1
ab,Annalena Baerbock,Die Gruenen,Politik,1
ft,Frans Timmermans,Keine,Politik,1
am,Andrij Melnyk,Keine,Politik,1
agl,Alexander Graf Lambsdorff,FDP,Politik,1
er,Egon Ramms,Keine,Militaer,1
rh,Robert Habeck,Die Gruenen,Politik,1
cm,Claudia Major,Keine,Wissenschaft,1
kp,Katja Petrowskaja,Keine,Journalismus,1
rk,Roderich Kiesewetter,CDU,Politik,1
clb,Christine Lambrecht,SPD,Politik,1
sb,Stefanie Babst,Keine,Politik,1
ch,Christoph Heusgen,Keine,Militaer,1
mw,Marina Weisband,Keine,Journalismus,1
os,Olaf Scholz,SPD,Politik,1